X,Y,Q
1.6,2.7,1.0
-1.8,8.24,1.0
-5.68,-8.65,2.0
1.6,-9.21,2.0
2.99,1.59,2.0
-5.34,-7.82,2.0
-6.42,-4.52,1.0
3.59,0.51,2.0
-2.49,1.97,1.0
1.51,8.07,1.0
-8.72,9.4,1.0
5.59,-6.11,2.0
-7.09,-7.72,2.0
2.64,6.35,1.0
8.53,5.8,2.0
6.26,4.1,2.0
-9.48,5.41,1.0
4.66,3.99,2.0
-6.84,0.3,1.0
7.98,9.75,1.0
-4.72,-7.07,2.0
7.83,-3.42,2.0
8.87,-9.96,2.0
-3.25,-9.57,2.0
9.24,9.64,1.0
6.39,-0.48,2.0
-5.89,-7.21,2.0
5.84,-5.31,2.0
-6.63,1.63,1.0
8.63,-2.81,2.0
-0.18,2.32,1.0
6.03,-4.29,2.0
-7.39,-8.96,2.0
-1.04,7.64,1.0
0.85,3.46,1.0
4.21,-3.96,2.0
-0.26,1.19,1.0
5.98,7.46,1.0
7.01,8.46,1.0
4.59,5.5,1.0
3.48,-1.38,2.0
4.79,8.93,1.0
9.04,7.53,2.0
8.31,-6.18,2.0
-4.42,-9.75,2.0
-4.12,-4.16,2.0
1.21,7.3,1.0
6.02,-1.03,2.0
-1.07,4.66,1.0
-3.98,5.7,1.0
2.57,-6.61,2.0
4.64,4.4,2.0
3.84,-5.59,2.0
-6.01,5.93,1.0
-4.66,-9.97,2.0
5.28,-3.28,2.0
2.53,4.89,1.0
-5.76,6.38,1.0
5.25,6.88,1.0
9.98,-0.06,2.0
5.36,4.34,2.0
2.75,8.41,1.0
0.12,-5.14,2.0
5.67,-4.91,2.0
2.44,1.71,2.0
8.18,1.86,2.0
-9.84,-0.05,1.0
-5.71,-0.04,1.0
-4.15,-3.83,1.0
-4.17,-3.89,1.0
-7.66,8.4,1.0
-3.76,8.45,1.0
-4.97,-9.1,2.0
8.5,-1.74,2.0
8.27,5.26,2.0
-2.14,8.26,1.0
-7.6,3.17,1.0
2.1,-6.19,2.0
9.33,-6.68,2.0
8.93,-5.59,2.0
2.71,-6.19,2.0
-1.75,-2.87,2.0
9.66,0.13,2.0
9.04,-7.99,2.0
-2.8,1.82,1.0
7.06,1.75,2.0
7.5,7.62,1.0
5.29,6.93,1.0
4.11,0.4,2.0
-9.56,7.37,1.0
3.95,-5.21,2.0
3.73,9.97,1.0
-3.48,-6.35,2.0
-3.6,-2.81,1.0
-9.59,8.68,1.0
-0.09,8.1,1.0
5.81,-8.94,2.0
3.71,2.87,2.0
-4.32,6.18,1.0
-6.04,8.71,1.0
6.31,5.0,2.0
-0.11,-8.88,2.0
-8.0,-9.5,2.0
2.8,0.82,2.0
2.39,-1.42,2.0
8.73,-3.78,2.0
3.17,7.75,1.0
4.05,-5.21,2.0
-5.56,-9.81,2.0
8.31,-4.95,2.0
9.54,-3.17,2.0
5.54,-8.43,2.0
-7.07,-4.46,1.0
0.12,8.09,1.0
7.73,-6.54,2.0
4.81,-0.83,2.0
-2.32,2.11,1.0
-4.27,7.52,1.0
8.63,5.37,2.0
-1.61,9.55,1.0
5.87,-6.85,2.0
1.36,-3.57,2.0
-4.27,-8.27,2.0
-6.98,-6.63,1.0
3.51,4.01,1.0
-7.5,-9.8,2.0
-3.09,0.9,1.0
0.24,-3.41,2.0
2.45,5.26,1.0
1.8,-0.7,2.0
-8.11,6.39,1.0
-0.33,-2.51,2.0
0.98,4.07,1.0
4.06,-8.96,2.0
0.41,7.71,1.0
3.28,-4.71,2.0
0.93,0.18,2.0
8.71,-8.97,2.0
7.46,-8.86,2.0
6.09,-5.47,2.0
-8.74,4.13,1.0
-7.13,-6.18,1.0
9.55,-2.09,2.0
-0.38,-7.9,2.0
0.26,2.54,1.0
-4.15,2.75,1.0
-9.09,-3.02,1.0
-7.02,-0.82,1.0
-6.45,-6.41,1.0
-2.54,-1.53,1.0
-8.75,1.08,1.0
-5.15,-9.33,2.0
-0.61,0.2,1.0
6.47,-2.23,2.0
9.85,1.55,2.0
-4.18,-7.91,2.0
3.83,-4.13,2.0
5.22,0.34,2.0
-5.7,-2.9,1.0
0.72,-9.51,2.0
4.74,6.85,1.0
-9.07,4.07,1.0
3.41,-7.08,2.0
-2.65,3.47,1.0
4.62,6.76,1.0
-2.18,-4.13,2.0
-1.27,9.63,1.0
-4.35,7.58,1.0
-8.79,6.46,1.0
-4.28,6.99,1.0
-7.69,-6.42,1.0
-8.01,-5.58,1.0
1.95,-8.78,2.0
8.78,4.37,2.0
-4.89,9.85,1.0
-8.73,6.43,1.0
9.41,1.89,2.0
-0.52,-3.33,2.0
0.48,9.52,1.0
-4.8,-4.72,1.0
-7.76,-0.04,1.0
0.45,9.19,1.0
3.42,2.69,2.0
0.75,-5.03,2.0
1.33,7.71,1.0
-0.27,8.05,1.0
-8.23,6.11,1.0
5.97,-7.41,2.0
9.52,2.37,2.0
5.81,-5.26,2.0
4.3,-8.31,2.0
0.72,-5.66,2.0
2.97,-8.25,2.0
1.49,-4.91,2.0
-0.34,3.48,1.0
4.94,0.15,2.0
3.02,-4.14,2.0
-3.06,6.99,1.0
-5.46,-2.63,1.0
-7.5,9.59,1.0
1.29,3.91,1.0
-3.64,4.91,1.0
-7.38,3.92,1.0
4.51,-0.84,2.0
4.59,9.44,1.0
-1.68,-6.04,2.0
-1.21,4.74,1.0
0.43,-3.33,2.0
6.35,-2.85,2.0
-8.65,-3.96,1.0
3.18,5.06,1.0
-1.68,-0.42,1.0
8.5,3.45,2.0
5.66,6.03,1.0
9.5,4.15,2.0
4.45,6.9,1.0
1.05,-8.54,2.0
-9.26,-1.94,1.0
4.67,7.35,1.0
8.77,3.26,2.0
6.63,7.67,1.0
1.76,3.91,1.0
-5.65,-4.72,1.0
1.38,7.42,1.0
7.41,6.48,2.0
-6.2,1.1,1.0
1.96,-6.85,2.0
-8.16,6.33,1.0
-1.81,-7.81,2.0
3.15,-9.62,2.0
-7.42,2.56,1.0
-2.12,-5.12,2.0
-3.72,2.47,1.0
7.03,0.58,2.0
-8.72,9.33,1.0
-2.67,4.77,1.0
-3.47,-4.93,2.0
4.88,-9.65,2.0
-1.31,4.98,1.0
-7.21,-3.94,1.0
9.86,-4.17,2.0
1.51,-5.83,2.0
-4.07,2.34,1.0
9.26,-5.84,2.0
-3.48,-9.64,2.0
-2.68,-1.42,1.0
3.69,5.05,1.0
-7.58,6.53,1.0
-1.88,2.52,1.0
1.13,6.67,1.0
1.18,7.98,1.0
2.19,0.7,2.0
8.42,2.05,2.0
1.06,4.51,1.0
-9.83,-3.26,1.0
-1.32,-1.85,2.0
5.13,-0.45,2.0
-6.65,0.03,1.0
-2.69,8.53,1.0
-3.67,7.68,1.0
6.53,-2.77,2.0
7.35,5.55,2.0
5.95,-6.22,2.0
0.33,7.43,1.0
7.7,-1.73,2.0
-4.44,-6.63,2.0
-3.67,3.62,1.0
6.72,-2.49,2.0
-1.48,5.59,1.0
6.26,0.96,2.0
-5.18,8.06,1.0
5.35,-5.3,2.0
9.49,3.57,2.0
-8.19,1.9,1.0
5.64,-1.07,2.0
-8.42,9.05,1.0
-7.37,1.51,1.0
4.42,-4.22,2.0
-0.64,5.59,1.0
7.52,-8.33,2.0
7.44,-7.58,2.0
-8.0,6.95,1.0
2.7,2.0,2.0
6.28,2.72,2.0
2.16,1.25,2.0
4.47,1.33,2.0
-6.14,0.34,1.0
3.97,6.95,1.0
-0.22,-6.42,2.0
9.44,4.65,2.0
-5.9,-1.83,1.0
-1.29,-8.19,2.0
0.65,2.26,1.0
-2.44,7.32,1.0
-8.47,-0.73,1.0
-1.83,-5.75,2.0
7.97,6.39,2.0
3.17,-0.33,2.0
8.15,-2.0,2.0
-9.71,1.53,1.0
-2.66,2.14,1.0
3.43,-3.61,2.0
7.03,-9.54,2.0
0.18,-9.34,2.0
-4.83,8.54,1.0
-7.7,9.1,1.0
-5.29,8.28,1.0
-7.11,-0.52,1.0
-9.72,-5.64,1.0
-2.72,-9.39,2.0
5.45,-5.84,2.0
1.07,1.33,1.0
-6.23,8.49,1.0
-5.48,2.43,1.0
0.58,-2.6,2.0
0.14,-3.79,2.0
1.02,9.12,1.0
2.65,-9.69,2.0
2.57,-8.77,2.0
-8.88,0.25,1.0
4.79,0.73,2.0
-8.84,-2.03,1.0
-8.33,2.55,1.0
-2.14,4.62,1.0
3.84,9.37,1.0
4.69,3.13,2.0
8.68,9.33,1.0
-4.5,-8.85,2.0
-3.22,2.28,1.0
-6.2,-7.79,2.0
9.82,0.23,2.0
-1.07,4.54,1.0
1.03,5.94,1.0
4.14,-1.22,2.0
-5.44,-6.85,2.0
-4.02,-8.17,2.0
-7.12,-6.18,1.0
6.74,-5.2,2.0
-6.47,3.76,1.0
1.25,9.86,1.0
-4.03,6.47,1.0
0.12,9.36,1.0
7.32,-8.7,2.0
-8.93,8.77,1.0
-5.37,7.9,1.0
5.86,-5.22,2.0
-8.35,-2.54,1.0
9.12,-2.26,2.0
2.3,1.64,2.0
-6.15,7.31,1.0
-8.76,0.29,1.0
-1.77,-4.79,2.0
3.01,3.92,1.0
8.27,8.36,1.0
-3.13,-7.72,2.0
-7.28,3.3,1.0
-9.25,1.69,1.0
-8.96,-4.02,1.0
-7.09,4.35,1.0
-5.68,-3.5,1.0
-6.94,2.0,1.0
8.44,5.15,2.0
1.05,7.69,1.0
-8.64,0.41,1.0
-2.71,0.94,1.0
-4.04,5.52,1.0
0.9,-4.14,2.0
1.02,2.4,1.0
0.46,-4.33,2.0
6.82,-6.35,2.0
-7.45,-2.77,1.0
0.06,2.61,1.0
-9.04,7.47,1.0
-5.55,2.51,1.0
-7.31,3.56,1.0
6.18,7.34,1.0
2.62,0.72,2.0
-1.07,1.74,1.0
-1.7,-2.52,2.0
-8.84,-7.53,1.0
5.29,-8.77,2.0
-3.05,-4.51,2.0
-3.68,-6.92,2.0
0.98,9.81,1.0
8.8,2.4,2.0
-7.73,8.71,1.0
-1.9,-0.57,1.0
1.9,0.1,2.0
-5.53,4.07,1.0
-8.44,-1.23,1.0
-4.58,-9.14,2.0
-8.31,-3.86,1.0
-8.63,6.05,1.0
0.08,3.56,1.0
-6.46,6.16,1.0
-1.76,9.44,1.0
4.53,8.67,1.0
9.88,4.6,2.0
7.69,0.33,2.0
5.07,-2.02,2.0
-8.88,-9.49,2.0
-9.33,-9.03,1.0
-0.12,5.0,1.0
3.03,-4.16,2.0
4.84,-0.73,2.0
-4.92,-2.01,1.0
-0.93,2.98,1.0
4.59,-4.15,2.0
-8.58,0.2,1.0
-9.56,5.72,1.0
-4.64,-4.58,1.0
4.5,-7.01,2.0
-3.54,3.51,1.0
4.02,-3.55,2.0
6.18,5.39,2.0
-9.8,0.27,1.0
8.6,-3.16,2.0
5.45,-4.0,2.0
-1.05,-7.14,2.0
9.18,1.47,2.0
-7.46,7.56,1.0
-1.67,-0.94,1.0
5.15,5.46,1.0
-8.74,4.19,1.0
4.3,-1.15,2.0
-4.6,1.03,1.0
9.06,-2.5,2.0
-6.73,9.52,1.0
7.19,6.51,2.0
-1.33,-8.17,2.0
1.56,-9.49,2.0
5.7,7.86,1.0
1.89,-5.67,2.0
8.9,-8.4,2.0
-1.32,-1.33,2.0
-0.65,-3.12,2.0
-0.09,9.89,1.0
7.69,0.41,2.0
3.73,-0.92,2.0
-0.51,-2.85,2.0
3.36,-4.99,2.0
4.91,8.01,1.0
-8.77,-4.53,1.0
1.78,8.35,1.0
-1.68,5.21,1.0
1.6,-3.16,2.0
3.05,1.86,2.0
4.67,3.23,2.0
-1.1,-0.93,1.0
-3.51,3.42,1.0
7.38,9.57,1.0
8.27,-5.93,2.0
-7.0,-9.58,2.0
3.28,1.37,2.0
-5.89,9.83,1.0
-3.18,9.37,1.0
7.18,8.54,1.0
-5.99,0.15,1.0
-7.02,7.39,1.0
-0.11,-9.57,2.0
-5.07,5.61,1.0
8.18,-7.25,2.0
8.75,-9.33,2.0
-1.66,2.67,1.0
-7.42,-4.03,1.0
-4.13,8.86,1.0
4.25,5.84,1.0
2.21,0.72,2.0
7.79,5.2,2.0
-2.57,8.96,1.0
4.83,9.2,1.0
4.16,-1.11,2.0
-5.56,8.21,1.0
-5.15,-5.3,2.0
5.3,3.4,2.0
6.71,7.69,1.0
6.21,-5.67,2.0
-2.91,-0.04,1.0
5.97,-3.78,2.0
1.45,8.05,1.0
-4.87,-3.49,1.0
-2.1,-7.3,2.0
1.66,1.52,2.0
-7.34,-0.13,1.0
2.52,-0.21,2.0
-3.94,-5.34,2.0
-6.97,-7.59,2.0
0.92,-7.01,2.0
3.95,2.18,2.0
-0.7,-0.97,2.0
-5.6,4.01,1.0
-6.78,-6.63,1.0
-5.44,9.54,1.0
-6.43,-6.48,2.0
1.12,-3.74,2.0
9.33,-7.96,2.0
-0.87,-6.36,2.0
7.13,-7.25,2.0
5.27,-1.0,2.0
-5.51,-0.61,1.0
8.6,-8.42,2.0
5.14,-5.03,2.0
2.01,-1.37,2.0
4.59,-9.76,2.0
8.8,9.7,1.0
0.54,2.66,1.0
-4.44,9.76,1.0
-5.48,9.27,1.0
6.02,8.93,1.0
-0.85,-0.64,1.0
9.89,-5.54,2.0
-9.68,7.01,1.0
-1.03,9.81,1.0
5.17,-0.84,2.0
0.22,5.95,1.0
-6.41,-8.09,2.0
-1.27,-5.53,2.0
8.57,5.61,2.0
-1.99,8.21,1.0
-2.19,7.19,1.0
9.68,9.16,2.0
3.53,4.82,1.0
0.93,2.49,1.0
-0.18,1.6,1.0
0.31,3.55,1.0
5.79,-3.59,2.0
-4.78,-3.31,1.0
6.44,-0.65,2.0
-1.93,-1.29,1.0
9.71,5.44,2.0
0.28,-6.84,2.0
5.76,-2.14,2.0
5.77,2.41,2.0
8.65,9.69,1.0
2.27,-4.65,2.0
8.0,-2.06,2.0
-6.33,6.13,1.0
7.61,8.62,1.0
-6.42,-0.96,1.0
8.39,7.12,2.0
-0.92,8.21,1.0
9.79,4.52,2.0
-7.22,-6.52,1.0
3.41,4.74,1.0
-8.15,5.62,1.0
1.56,-7.82,2.0
0.49,7.67,1.0
8.79,-3.64,2.0
-8.64,-4.09,1.0
-0.91,6.76,1.0
-8.43,3.63,1.0
6.21,-6.45,2.0
-0.1,3.32,1.0
0.06,4.04,1.0
5.47,-8.69,2.0
5.63,-5.59,2.0
-4.49,6.3,1.0
0.09,-5.49,2.0
0.83,3.93,1.0
-2.77,1.72,1.0
-8.22,1.62,1.0
-5.24,-0.79,1.0
-6.18,5.09,1.0
0.47,-8.99,2.0
-3.56,9.21,1.0
8.79,-0.97,2.0
6.69,-1.35,2.0
1.47,7.17,1.0
-4.77,-7.47,2.0
-4.33,-0.95,1.0
